store_code;country_code_iso3;physical_quantity;product_code;barcode
I20;FRA;24;3600550041347;3600550041347
I20;FRA;30;3600550817584;3600550817584
I20;FRA;21;3600551067353;3600551067353
I20;FRA;34;3600551068459;3600551068459
I20;FRA;33;3600551119854;3600551119854
I20;FRA;37;3600551125336;3600551125336
I20;FRA;62;3600551142227;3600551142227
I50;FRA;191;3054080063780;3054080063780
I50;FRA;1;3054080063780;3054080063780
I50;FRA;418;3600520756509;3600520756509
I50;FRA;87;3600522105992;3600522105992
I50;FRA;1;3600522105992;3600522105992
I50;FRA;108;3600523755721;3600523755721
I50;FRA;101;3600524098568;3600524098568
I50;FRA;55;3600524143619;3600524143619
I50;FRA;67;3600541426078;3600541426078
I50;FRA;126;3600542120487;3600542120487
I50;FRA;123;3600542298407;3600542298407
I50;FRA;125;3600542383523;3600542383523
I50;FRA;92;3600542450645;3600542450645
I50;FRA;2;3600542450645;3600542450645
I50;FRA;67;3600542453516;3600542453516
I50;FRA;115;3600550041347;3600550041347
I50;FRA;78;3600550817584;3600550817584
I50;FRA;81;3600551067353;3600551067353
I50;FRA;59;3600551068459;3600551068459
I50;FRA;168;3600551119854;3600551119854
I50;FRA;55;3600551125336;3600551125336
Z90;FRA;82;3054080063780;3054080063780
Z90;FRA;195;3600520756509;3600520756509
Z90;FRA;133;3600522105992;3600522105992
Z90;FRA;63;3600523755721;3600523755721
Z90;FRA;45;3600524098568;3600524098568
Z90;FRA;26;3600524098681;3600524098681
Z90;FRA;1;3600524098681;3600524098681
Z90;FRA;56;3600524102982;3600524102982
Z90;FRA;66;3600524143619;3600524143619
Z90;FRA;3;3600541426078;3600541426078
Z90;FRA;121;3600542120487;3600542120487
Z90;FRA;106;3600542298407;3600542298407
Z90;FRA;67;3600542383523;3600542383523
Z90;FRA;74;3600542417846;3600542417846
Z90;FRA;60;3600542441643;3600542441643
Z90;FRA;5;3600542444224;3600542444224
Z90;FRA;4;3600542450645;3600542450645
Z90;FRA;49;3600542453516;3600542453516
Z90;FRA;25;3600542453769;3600542453769
Z90;FRA;89;3600550041347;3600550041347
Z90;FRA;121;3600550817584;3600550817584
Z90;FRA;57;3600551067353;3600551067353
Z90;FRA;64;3600551068459;3600551068459
Z90;FRA;166;3600551119854;3600551119854
Z90;FRA;40;3600551125336;3600551125336
Z90;FRA;26;3600551142227;3600551142227
