store_code;barcode;sap_code;operational_division;operational_sub_axe_label;total_items_weekly;contribution_percentage;cumulative_sum;cumulative_percentage;abc_class;period_start;period_end
B10;3600542120487;C5986403;CPD;Hair Care;6;0.52;1127;97.66;C;06/06/2025;20/06/2025
B10;3600523755721;ZFR36801;CPD;Hair Care;5;0.43;1132;98.09;C;06/06/2025;20/06/2025
B10;3600542298407;XFR26621;CPD;Sun Care;27;6.96;78;20.1;A;06/06/2025;20/06/2025
B10;3600551068459;WFR28691;CPD;Sun Care;26;6.7;131;33.76;A;06/06/2025;20/06/2025
B10;3600551067353;WFR28693;CPD;Sun Care;17;4.38;208;53.61;A;06/06/2025;20/06/2025
B10;3600542450645;XFR26611;CPD;Sun Care;10;2.58;337;86.86;B;06/06/2025;20/06/2025
B10;3600551125336;WFR28694;CPD;Sun Care;8;2.06;354;91.24;B;06/06/2025;20/06/2025
B10;3600541426078;XFR26602;CPD;Sun Care;5;1.29;370;95.36;C;06/06/2025;20/06/2025
B10;3600542453516;XFR26612;CPD;Sun Care;5;1.29;375;96.65;C;06/06/2025;20/06/2025
B20;3600542383523;C6482802;CPD;Face Care;66;10.77;66;10.77;A;06/06/2025;20/06/2025
B20;3054080063780;ZFR26373;CPD;Face Cleansing;48;37.21;48;37.21;A;06/06/2025;20/06/2025
B20;3600520756509;A2184230;CPD;Hair Care;117;7.98;117;7.98;A;06/06/2025;20/06/2025
B20;3600542120487;C5986403;CPD;Hair Care;57;3.89;233;15.89;A;06/06/2025;20/06/2025
B20;3600524143619;AA831200;CPD;Hair Care;56;3.82;345;23.53;A;06/06/2025;20/06/2025
B20;3600524098568;AA638200;CPD;Hair Care;45;3.07;390;26.6;A;06/06/2025;20/06/2025
B20;3600550817584;D0790622;CPD;Hair Care;37;2.52;666;45.43;A;06/06/2025;20/06/2025
B20;3600522105992;A7480315;CPD;Hair Care;32;2.18;731;49.86;A;06/06/2025;20/06/2025
B20;3600524098698;AA639500;CPD;Hair Care;32;2.18;763;52.05;A;06/06/2025;20/06/2025
B20;3600551119854;D3844700;CPD;Hair Care;24;1.64;1014;69.17;A;06/06/2025;20/06/2025
B20;3600523755721;ZFR36801;CPD;Hair Care;18;1.23;1215;82.88;B;06/06/2025;20/06/2025
B20;3600551142227;D3899401;CPD;Hair Care;14;0.95;1341;91.47;B;06/06/2025;20/06/2025
B20;3600524098681;AA639400;CPD;Hair Care;11;0.75;1364;93.04;B;06/06/2025;20/06/2025
B20;3600524102982;AA654800;CPD;Hair Care;9;0.61;1384;94.41;B;06/06/2025;20/06/2025
B20;3600542417846;XFR25148;CPD;Hair Care;5;0.34;1427;97.34;C;06/06/2025;20/06/2025
B20;3600550041347;D0980407;CPD;Hair Care;4;0.27;1436;97.95;C;06/06/2025;20/06/2025
B20;3600542450645;XFR26611;CPD;Sun Care;35;9.02;35;9.02;A;06/06/2025;20/06/2025
B20;3600542298407;XFR26621;CPD;Sun Care;25;6.44;121;31.19;A;06/06/2025;20/06/2025
B20;3600551068459;WFR28691;CPD;Sun Care;24;6.19;145;37.37;A;06/06/2025;20/06/2025
B20;3600551067353;WFR28693;CPD;Sun Care;15;3.87;248;63.92;A;06/06/2025;20/06/2025
B20;3600551125336;WFR28694;CPD;Sun Care;11;2.84;336;86.6;B;06/06/2025;20/06/2025
B20;3600541426078;XFR26602;CPD;Sun Care;9;2.32;355;91.49;B;06/06/2025;20/06/2025
B20;3600542453516;XFR26612;CPD;Sun Care;8;2.06;372;95.88;C;06/06/2025;20/06/2025
B20;3600542444224;C6660702;CPD;Sun Care;6;1.55;384;98.97;C;06/06/2025;20/06/2025
B30;3600542383523;C6482802;CPD;Face Care;69;10.71;69;10.71;A;06/06/2025;20/06/2025
B30;3054080063780;ZFR26373;CPD;Face Cleansing;108;39.13;108;39.13;A;06/06/2025;20/06/2025
B30;3600520756509;A2184230;CPD;Hair Care;103;6.41;103;6.41;A;06/06/2025;20/06/2025
B30;3600524098568;AA638200;CPD;Hair Care;99;6.16;202;12.56;A;06/06/2025;20/06/2025
B30;3600542120487;C5986403;CPD;Hair Care;86;5.35;288;17.91;A;06/06/2025;20/06/2025
B30;3600522105992;A7480315;CPD;Hair Care;73;4.54;361;22.45;A;06/06/2025;20/06/2025
B30;3600524143619;AA831200;CPD;Hair Care;65;4.04;563;35.01;A;06/06/2025;20/06/2025
B30;3600551142227;D3899401;CPD;Hair Care;45;2.8;805;50.06;A;06/06/2025;20/06/2025
B30;3600550817584;D0790622;CPD;Hair Care;39;2.43;967;60.14;A;06/06/2025;20/06/2025
B30;3600523755721;ZFR36801;CPD;Hair Care;31;1.93;1177;73.2;A;06/06/2025;20/06/2025
B30;3600551119854;D3844700;CPD;Hair Care;29;1.8;1236;76.87;A;06/06/2025;20/06/2025
B30;3600524098681;AA639400;CPD;Hair Care;21;1.31;1355;84.27;B;06/06/2025;20/06/2025
B30;3600550041347;D0980407;CPD;Hair Care;7;0.44;1552;96.52;C;06/06/2025;20/06/2025
B30;3600542298407;XFR26621;CPD;Sun Care;101;16.69;101;16.69;A;06/06/2025;20/06/2025
B30;3600551068459;WFR28691;CPD;Sun Care;57;9.42;158;26.12;A;06/06/2025;20/06/2025
B30;3600542450645;XFR26611;CPD;Sun Care;25;4.13;378;62.48;A;06/06/2025;20/06/2025
B30;3600542453516;XFR26612;CPD;Sun Care;22;3.64;447;73.88;A;06/06/2025;20/06/2025
B30;3600551125336;WFR28694;CPD;Sun Care;16;2.64;520;85.95;B;06/06/2025;20/06/2025
